source_dataset,from_course,to_course,evidence,support,confidence,lift,pagerank_source,rationale
OULAD,Computing & IT,Mathematics,FP-Growth,0.037,0.251,2.525,0.3787,"Students who took 'Computing & IT' also took 'Mathematics' (lift=2.52, conf=0.25)."
OULAD,Mathematics,Computing & IT,FP-Growth,0.037,0.373,2.525,0.1823,"Students who took 'Mathematics' also took 'Computing & IT' (lift=2.52, conf=0.37)."
Coursera,Health Systems Development: Introduction to Health Systems,"Health Systems Development: Health systems, Policy and Research",BERT (MiniLM),,,,,Most semantically similar course (cosine=1.000; topic=Health & Medicine).
Coursera,"Health Systems Development: Health systems, Policy and Research",Health Systems Development: Introduction to Health Systems,BERT (MiniLM),,,,,Most semantically similar course (cosine=1.000; topic=Health & Medicine).
Coursera,Health Systems Development: A Focus on Health Service Delivery and Human Resources for Health,Health Systems Development: Introduction to Health Systems,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.997; topic=Health & Medicine).
Coursera,Internet of Things Capstone: Build a Mobile Surveillance System,Internet of Things Capstone V2: Build a Mobile Surveillance System,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.994; topic=Humanities).
Coursera,Internet of Things Capstone V2: Build a Mobile Surveillance System,Internet of Things Capstone: Build a Mobile Surveillance System,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.994; topic=Humanities).
Coursera,Digital Signal Processing 3: Analog vs Digital,Digital Signal Processing 4: Applications,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.993; topic=Engineering).
Coursera,Digital Signal Processing 4: Applications,Digital Signal Processing 3: Analog vs Digital,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.993; topic=Engineering).
Coursera,Precalculus: Periodic Functions,Precalculus: Relations and Functions,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.992; topic=Mathematics).
Coursera,Precalculus: Relations and Functions,Precalculus: Periodic Functions,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.992; topic=Mathematics).
Coursera,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.989; topic=Engineering).
Coursera,Learn to Teach Java: ArrayLists and 2D Arrays,Learn to Teach Java: Writing Classes and Arrays,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.985; topic=Computing & IT).
Coursera,Learn to Teach Java: Writing Classes and Arrays,Learn to Teach Java: ArrayLists and 2D Arrays,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.985; topic=Computing & IT).
Coursera,Build a Simple App in Android Studio with Java,Build a Relative Layout App in Android Studio,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.984; topic=Computing & IT).
Coursera,TensorFlow for AI: Get to Know Tensorflow,TensorFlow for AI: Neural Network Representation,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.970; topic=Technology Studies).
Coursera,TensorFlow for AI: Neural Network Representation,TensorFlow for AI: Get to Know Tensorflow,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.970; topic=Technology Studies).
Coursera,Teaching Impacts of Technology: Workplace of the Future,Teaching Impacts of Technology: Fundamentals,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.955; topic=Education Studies).
Coursera,Teaching Impacts of Technology: Fundamentals,Teaching Impacts of Technology: Workplace of the Future,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.955; topic=Education Studies).
Coursera,TensorFlow for CNNs: Transfer Learning,TensorFlow for AI: Neural Network Representation,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.954; topic=Technology Studies).
Coursera,Effectively delivering the news to your audience,What is news?,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.953; topic=Other).
Coursera,What is news?,Effectively delivering the news to your audience,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.953; topic=Other).
Coursera,Foundations of Teaching for Learning: Developing Relationships,Foundations of Teaching for Learning: Introduction,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.953; topic=Education Studies).
Coursera,High-Impact Business Writing,English for Effective Business Writing,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.940; topic=Humanities).
Coursera,Planning for Climate Change in African Cities,"Act on Climate: Steps to Individual, Community, and Political Action",BERT (MiniLM),,,,,Most semantically similar course (cosine=0.920; topic=Social Sciences Foundation).
Coursera,"Act on Climate: Steps to Individual, Community, and Political Action",Planning for Climate Change in African Cities,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.920; topic=Social Sciences Foundation).
Coursera,Social Marketing Capstone Project,The Business of Social,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.918; topic=Business).
Coursera,The Business of Social,Social Marketing Capstone Project,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.918; topic=Business).
Coursera,Global Health: An Interdisciplinary Overview,Foundations for Global Health Responders,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.906; topic=Social Sciences Foundation).
Coursera,Statistics with R Capstone,Business Statistics and Analysis Capstone,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.903; topic=Mathematics).
Coursera,Strategic Self-Marketing and Personal Branding,Career Total Fitness Annual Retreat,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.885; topic=Business).
Coursera,Exploratory Data Analysis with Seaborn,Introduction to Data Analytics,BERT (MiniLM),,,,,Most semantically similar course (cosine=0.884; topic=Other).
